AAPL,MSI,SBUX,SMA_AAPL,SMA_MSI,SMA_SBUX,EMA_AAPL,EMA_MSI,EMA_SBUX,RSI_AAPL,RSI_MSI,RSI_SBUX
71.8528,56.55,35.94,69.94104999999999,56.99214285714287,35.86475,70.04597482498433,56.75617526570439,35.76668600085828,72.20995146321735,46.87450727828641,55.64444025701755
69.7985,56.12,35.08,70.18197142857142,56.96642857142859,35.79225,70.01297818165308,56.671351896943804,35.67512786741051,58.88433461297138,43.26802848351751,45.711911686229314
70.1279,56.39,35.48,70.48692857142855,56.913571428571444,35.72153571428572,70.028301090766,56.63383831068463,35.64911081842244,60.154085371677255,46.07364141439656,50.167423603071434
70.2428,56.19,35.59,70.86702857142855,56.830000000000005,35.66367857142858,70.05690094533054,56.57465986926001,35.64122937596612,60.611033456611686,44.32500473511292,51.34990450453905
69.6022,56.01,35.26,71.06964285714284,56.72785714285715,35.577607142857154,69.9962741526198,56.49937188669201,35.59039879250397,56.70651392238511,42.75234705295976,47.693564972935455
69.7971,56.28,35.8,71.05954285714283,56.61642857142857,35.54046428571429,69.96971759893717,56.47012230179974,35.6183456201701,57.60141869450172,45.855584601226035,53.52518299499025
71.2415,56.08,36.07,71.06149285714284,56.5,35.55082142857144,70.13928858574555,56.41810599489311,35.67856620414742,63.60554489461621,43.95487696713963,56.1571898645355
70.7528,56.17,36.025,71.03455714285711,56.443571428571424,35.59760714285715,70.22109010764613,56.38502519557403,35.72475737692777,60.48462226328628,45.058500095127805,55.59210215743279
71.1742,56.47,35.785,70.99261428571427,56.394999999999996,35.62832142857143,70.34817142662665,56.39635516949749,35.73278972667073,62.2066505602719,48.68580384554789,52.55467905398685
72.3099,57.59,36.22,70.97659285714283,56.43071428571428,35.70510714285715,70.60973523640976,56.55550781356449,35.79775109644797,66.45010105638491,59.44949311818384,57.12701960241739
70.6628,57.37,37.1075,70.91097857142856,56.45357142857143,35.83207142857144,70.6168105382218,56.66410677175589,35.97238428358824,56.53567916602772,56.92365372838295,64.61875000914958
66.8156,57.25,37.695,70.55740714285713,56.53857142857142,35.99910714285715,70.10998246645889,56.7422258688551,36.20206637910981,41.1078197275314,55.53757550344622,68.5380482983583
67.5271,57.5,37.835,70.24852857142857,56.622142857142855,36.133750000000006,69.7655981375977,56.843262419674424,36.419790861895166,44.14360325194638,57.84077238803831,69.40771318647563
66.4142,57.46,37.785,69.87995714285714,56.67357142857143,36.26232142857144,69.31874505258467,56.92549409705117,36.60181874697581,40.61677339888305,57.329069950212045,68.67757031337617
64.3028,57.81,37.62,69.34067142857143,56.76357142857143,36.38232142857144,68.64995237890672,57.04342821744435,36.73757624737903,34.91705506573361,60.61254735951783,66.2025791801779
65.0456,58.28,38.02,69.00117857142857,56.917857142857144,36.59232142857144,68.16937206171916,57.20830445511844,36.90856608106183,38.20257721343453,64.55667431887255,69.10895673774155
66.3828,59.26,38.665,68.73367142857143,57.12285714285714,36.81982142857144,67.93116245348993,57.481863861102646,37.14275727025358,43.71149248412976,71.06328865083917,73.12261096983015
67.4714,59.69,38.175,68.53571428571429,57.37285714285714,37.004464285714285,67.86986079302461,57.776282012955626,37.28038963421977,47.79178431039004,73.37305967217983,66.09661863372484
66.7728,60.39,38.06,68.33361428571428,57.68571428571429,37.20446428571428,67.72358602062133,58.12477774456154,37.38433768299047,45.51175710303024,76.64175362083189,64.52950404908232
70.0914,60.37,37.68,68.3546357142857,57.97785714285715,37.33875,68.03929455120515,58.424140711953335,37.42375932525841,56.20129764489129,76.35335197085023,59.508709163602845
69.8714,59.99,38.275,68.25677142857143,58.25714285714286,37.496249999999996,68.28357527771112,58.63292195035956,37.53725808189062,55.42502446026142,70.89471219305997,64.20499605176126
68.7899,59.85,38.17,68.11656428571429,58.52,37.64946428571428,68.35108524068298,58.795199023644955,37.62162367097187,51.64832027783359,68.93923869912652,62.82031383162655
69.4599,59.87,38.59,67.99411428571429,58.76285714285715,37.84982142857143,68.49892720859191,58.938505820492296,37.75074051484229,53.75085763872804,69.07048824142608,65.98077449258416
68.9642,59.75,38.665,67.75513571428571,58.917142857142856,38.02446428571428,68.56096358077966,59.04670504442666,37.872641779529985,51.95093306024505,67.23473076605802,66.52794626613046
68.1071,59.38,38.485,67.57258571428572,59.06071428571429,38.122857142857136,68.5004484366757,59.091144371836435,37.95428954225932,48.90170326456109,61.78227862166037,63.872666794998466
69.7085,60.89,38.58,67.77922142857143,59.32071428571429,38.186071428571424,68.66152197845227,59.33099178892491,38.037717603291405,54.298991360821105,71.82449897127769,64.67404191293954
69.9371,60.7,38.595,67.95136428571428,59.549285714285716,38.240357142857135,68.83159904799197,59.51352621706826,38.11202192285255,55.029223011701504,69.35502624468187,64.80678479161625
69.0585,60.56,38.435,68.14024285714285,59.770714285714284,38.286785714285706,68.8618525082597,59.65305605479249,38.15508566647221,51.615600394086,67.51307291234842,62.12515883133797
69.0042,61.14,38.7,68.47605714285713,60.00857142857143,38.363928571428566,68.88083217382507,59.85131524748683,38.227740910942586,51.40337026654017,70.9546814292177,64.72839473721321
69.6785,60.89,38.4305,68.80697857142856,60.195,38.39325,68.98718788398173,59.98980654782192,38.25477545615024,53.93629857425432,67.62898647555235,60.196968592983346
68.7056,59.62,37.765,68.97289285714285,60.22071428571429,38.328964285714285,68.94964283278416,59.94049900811233,38.189472061996874,49.895408329434176,53.82678928219524,50.74894330881023
